Day,AMPM,Time,Activity,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
9,AM,8:30-10:00,Computing1a,1,1,1,1,1,1,0,0,0,0,0,0
9,AM,10:30-12:00,Computing1a,1,1,1,1,1,1,0,0,0,0,0,0
9,AM,8:30-10:00,Computing1b,0,0,0,0,0,0,1,1,1,1,1,1
9,AM,10:30-12:00,Computing1b,0,0,0,0,0,0,1,1,1,1,1,1
9,PM,1:00-2:30,Computing2a,1,1,1,0,0,0,0,0,0,1,1,1
9,PM,2:45-4:30,Computing2a,1,1,1,0,0,0,0,0,0,1,1,1
9,PM,1:00-2:30,Computing2b,0,0,0,1,1,1,1,1,1,0,0,0
9,PM,2:45-4:30,Computing2b,0,0,0,1,1,1,1,1,1,0,0,0
10,AM,8:30-10:00,Gemma,1,1,0,0,0,0,0,0,0,0,0,0
10,AM,10:30-12:00,MRC,1,1,0,0,0,0,0,0,0,0,0,0
10,AM,8:30-10:00,MRC,0,0,1,1,0,0,0,0,0,0,0,0
10,AM,10:30-12:00,Gemma,0,0,1,1,0,0,0,0,0,0,0,0
10,AM,8:30-10:00,Microscopy,0,0,0,0,0,0,0,0,1,1,1,1
10,AM,10:30-12:00,Microscopy,0,0,0,0,0,0,0,0,1,1,1,1
10,AM,8:30-10:00,Off,0,0,0,0,1,1,1,1,0,0,0,0
10,AM,10:30-12:00,Off,0,0,0,0,1,1,1,1,0,0,0,0
10,PM,1:00-2:30,t1,1,1,0,0,0,0,0,0,0,0,1,1
10,PM,2:45-4:30,t1,1,1,0,0,0,0,0,0,0,0,1,1
10,PM,1:00-2:30,t2,0,0,1,0,1,0,0,1,0,1,0,0
10,PM,2:45-4:30,t2,0,0,1,0,1,0,0,1,0,1,0,0
10,PM,1:00-2:30,t3,0,0,0,1,0,1,1,0,1,0,0,0
10,PM,2:45-4:30,t3,0,0,0,1,0,1,1,0,1,0,0,0
11,AM,8:30-10:00,Gemma,0,0,0,0,1,1,0,0,0,0,0,0
11,AM,10:30-12:00,MRC,0,0,0,0,1,1,0,0,0,0,0,0
11,AM,8:30-10:00,MRC,0,0,0,0,0,0,1,1,0,0,0,0
11,AM,10:30-12:00,Gemma,0,0,0,0,0,0,1,1,0,0,0,0
11,AM,8:30-10:00,Microscopy,1,1,1,1,0,0,0,0,0,0,0,0
11,AM,10:30-12:00,Microscopy,1,1,1,1,0,0,0,0,0,0,0,0
11,AM,8:30-10:00,Off,0,0,0,0,0,0,0,0,1,1,1,1
11,AM,10:30-12:00,Off,0,0,0,0,0,0,0,0,1,1,1,1
11,PM,1:00-2:30,t1,0,0,1,1,0,0,0,0,1,1,0,0
11,PM,2:45-4:30,t1,0,0,1,1,0,0,0,0,1,1,0,0
11,PM,1:00-2:30,t2,1,0,0,0,0,1,1,0,0,0,0,1
11,PM,2:45-4:30,t2,1,0,0,0,0,1,1,0,0,0,0,1
11,PM,1:00-2:30,t3,0,1,0,0,1,0,0,1,0,0,1,0
11,PM,2:45-4:30,t3,0,1,0,0,1,0,0,1,0,0,1,0
12,AM,8:30-10:00,Gemma,0,0,0,0,0,0,0,0,1,1,0,0
12,AM,10:30-12:00,MRC,0,0,0,0,0,0,0,0,1,1,0,0
12,AM,8:30-10:00,MRC,0,0,0,0,0,0,0,0,0,0,1,1
12,AM,10:30-12:00,Gemma,0,0,0,0,0,0,0,0,0,0,1,1
12,AM,8:30-10:00,Microscopy,0,0,0,0,1,1,1,1,0,0,0,0
12,AM,10:30-12:00,Microscopy,0,0,0,0,1,1,1,1,0,0,0,0
12,AM,8:30-10:00,Off,1,1,1,1,0,0,0,0,0,0,0,0
12,AM,10:30-12:00,Off,1,1,1,1,0,0,0,0,0,0,0,0
12,PM,1:00-2:30,t1,0,0,0,0,1,1,1,1,0,0,0,0
12,PM,2:45-4:30,t1,0,0,0,0,1,1,1,1,0,0,0,0
12,PM,1:00-2:30,t2,0,1,0,1,0,0,0,0,1,0,1,0
12,PM,2:45-4:30,t2,0,1,0,1,0,0,0,0,1,0,1,0
12,PM,1:00-2:30,t3,1,0,1,0,0,0,0,0,0,1,0,1
12,PM,2:45-4:30,t3,1,0,1,0,0,0,0,0,0,1,0,1
